自定义数据.抽奖配置={
[1]={名称="特殊魔兽要诀",数量={1},参数="观照万象",说明="获得观照万象特殊兽决一个",备注="无",概率=3},
[2]={名称="四代神兽礼包",数量={1},参数=nil,说明="1.6随机物理法系神兽一只",备注="无",概率=20},
[3]={名称="超级魔兽要诀",数量={1},参数=nil,说明="普通",备注="无",概率=5},
[4]={名称="160自选武器礼包",数量={1},参数=nil,说明="普通",备注="无",概率=2},
[5]={名称="160戒指自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=2},
[6]={名称="四代定制神兽自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=1},
[7]={名称="器灵·无双",数量={140},参数=nil,说明="普通",备注="无",概率=40},
[8]={名称="召唤兽锦衣丹",数量={1},参数=nil,说明="普通",备注="无",概率=32},
[9]={名称="一代定制神兽自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=5},
[10]={名称="二代定制神兽自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=5},
[11]={名称="三代定制神兽自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=5},
[12]={名称="四代定制神兽自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=5},
[13]={名称="一代神兽礼包",数量={1},参数=nil,说明="普通",备注="无",概率=11},
[14]={名称="二代神兽礼包",数量={1},参数=nil,说明="普通",备注="无",概率=5},
[15]={名称="三代神兽礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[16]={名称="160自选鞋子礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[17]={名称="160自选腰带礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[18]={名称="160自选衣服礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[19]={名称="160自选项链礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[20]={名称="160自选头盔礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[21]={名称="160手镯自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=8},
[22]={名称="160耳饰自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=8},
[23]={名称="160佩饰自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=8},
[24]={名称="160级随机自选包",数量={1},参数=nil,说明="160随机装备",备注="无",概率=3},
[25]={名称="器灵·金蝉",数量={140},参数=nil,说明="普通",备注="无",概率=50},
[26]={名称="三代神兽自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[27]={名称="60戒指自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[28]={名称="60手镯自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[29]={名称="60耳饰自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[30]={名称="60佩饰自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[31]={名称="80戒指自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[32]={名称="80手镯自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[33]={名称="80耳饰自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[34]={名称="80佩饰自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[35]={名称="100戒指自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[36]={名称="100手镯自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[37]={名称="100耳饰自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[38]={名称="100佩饰自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[39]={名称="120戒指自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[40]={名称="120手镯自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[41]={名称="120耳饰自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[42]={名称="120佩饰自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[43]={名称="140戒指自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[44]={名称="140手镯自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
[45]={名称="140耳饰自选礼包",数量={1},参数=nil,说明="普通",备注="无",概率=10},
